"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"730","1917",19,69,12,30.2,2,2.8,78.8,54.6,11.9,"WGS84",51.20696,7.83895,"E20","8","U111","U150","mineral","GERMANY"
"731","1918",20,59,21,32.1,1,1.7,12.5,39.5,11.6,"WGS84",51.12936,7.55674,"C20","8","U120","U150","mineral","GERMANY"
"732","1921",18,49,33,18.9,4,1.9,80.6,223.5,16,"WGS84",48.4135,13.12042,"B16","8","U111","8","mineral","GERMANY"
"733","1922",31,53,17,83.7,1,8.5,33.6,106.9,35.2,"WGS84",47.96999,12.07504,"E20","8","U111","8","mineral","GERMANY"
"734","1923",41,45,15,41.1,2,4,15.5,116.8,24.4,"WGS84",47.75413,12.06628,"D10","8","U400","8","mineral","GERMANY"
"735","1924",33,60,7,72.8,0,6.7,54.4,764.4,27.5,"WGS84",47.8178,12.46945,"B55","8","U111","8","mineral","GERMANY"
"736","1925",22,39,39,103.3,173,7.7,49.3,111.9,36,"WGS84",47.83456,12.52369,"E20","8","U111","8","organic","GERMANY"
"737","1926",22,58,20,27.7,0,2.5,15,70.1,8.3,"WGS84",47.86739,12.65894,"E20","8","U111","8","mineral","GERMANY"
"738","1927",18,56,27,31.5,3,3.2,24.1,68.1,18.7,"WGS84",47.90589,12.55396,"E20","8","U111","8","mineral","GERMANY"
"739","1928",7,37,55,32.2,84,2.5,10.6,35,13.6,"WGS84",47.7891,12.12108,"E20","8","U111","8","mineral","GERMANY"
"740","1929",18,43,39,197.3,46,12.5,42.9,102.4,73.7,"WGS84",47.97101,12.02149,"E20","8","U111","8","organic","GERMANY"
"741","1930",18,52,30,38,8,3.7,35.2,191.7,20.7,"WGS84",47.94994,12.18133,"E10","8","U111","8","mineral","GERMANY"
"742","1931",19,47,34,40.4,7,4.7,86.6,187.4,19.4,"WGS84",48.0764,12.15986,"E20","8","U111","8","mineral","GERMANY"
"743","1932",21,41,38,17.8,0,1.8,20.1,126.8,12.6,"WGS84",47.95193,12.87768,"B13","8","U111","8","mineral","GERMANY"
"744","1933",8,39,53,11.1,1,1.2,0,132.1,9.5,"WGS84",48.02085,12.23795,"E20","8","U111","8","mineral","GERMANY"
"745","1934",28,42,30,57.1,12,5.4,17.9,87.9,31.4,"WGS84",48.00175,12.29075,"E20","8","U111","8","mineral","GERMANY"
"746","1935",13,36,51,33.1,243,1.8,54.2,145.7,12.9,"WGS84",48.68388,13.10997,"F00","8","U112","8","mineral","GERMANY"
"747","1936",14,56,30,30.7,28,3,72.7,107.9,21.3,"WGS84",47.90977,12.39376,"B15","8","U111","8","mineral","GERMANY"
"748","1937",12,27,61,17.9,0,1.5,80.9,145.3,8.7,"WGS84",48.69128,13.4645,"B16","8","U111","8","mineral","GERMANY"
"749","1938",4,27,69,27.3,0,1.4,36.8,88.7,4.4,"WGS84",48.66916,13.59818,"C30","8","U400","8","mineral","GERMANY"
"750","1939",8,15,76,21.9,1,2.2,28.5,145.2,7,"WGS84",48.72989,13.3849,"E20","8","U111","8","mineral","GERMANY"
"751","1940",21,73,6,23.6,1,2.5,28.1,386.7,10,"WGS84",48.73551,13.19476,"E20","8","U111","8","mineral","GERMANY"
"752","1941",18,41,42,28.8,268,2.2,39.8,129.3,15.7,"WGS84",48.75803,13.03293,"B16","8","U111","8","mineral","GERMANY"
"753","1942",32,61,7,41.9,292,3.2,113.6,88,29.3,"WGS84",48.72134,13.05788,"E20","8","U150","8","mineral","GERMANY"
"754","1943",18,37,45,26.9,0,2.5,28.9,64,7.4,"WGS84",48.8573,13.33904,"E20","8","U111","8","mineral","GERMANY"
"755","1944",20,42,38,32.5,0,3,19.1,153.9,8.9,"WGS84",48.7222,13.62922,"E20","8","U111","8","mineral","GERMANY"
"756","1945",11,28,62,17.8,0,1.3,12.2,46,7.1,"WGS84",48.75451,13.7405,"E20","8","U111","8","mineral","GERMANY"
"757","1946",24,40,36,40.2,0,3.3,0,64.5,7.6,"WGS84",48.88821,13.50491,"E20","8","U111","8","mineral","GERMANY"
"758","1947",24,45,31,16.3,6,1.6,61.8,102.7,21.7,"WGS84",48.51677,13.28913,"B13","8","U111","8","mineral","GERMANY"
"759","1948",18,77,5,17,2,2,0,60.4,8.3,"WGS84",48.49459,13.42314,"C10","8","U400","U130","mineral","GERMANY"
"760","1949",18,47,35,10.8,1,1.3,40.4,276.1,10.3,"WGS84",48.54075,13.07371,"B16","8","U111","8","mineral","GERMANY"
"761","1950",20,58,23,15.5,0,1.6,66.6,157.8,11.1,"WGS84",48.40642,13.36307,"B11","8","U111","8","mineral","GERMANY"
"762","1951",17,57,26,15.2,1,1.7,74.6,139.7,15,"WGS84",48.35854,12.44182,"B13","8","U111","8","mineral","GERMANY"
"763","1952",30,46,24,11.9,1,1.4,38.2,202.9,16.1,"WGS84",48.43721,12.14801,"B11","8","U111","8","mineral","GERMANY"
"764","1953",22,52,26,15.8,2,1.7,42.1,106.4,16.4,"WGS84",48.4017,12.09278,"B32","8","U111","8","mineral","GERMANY"
"765","1954",17,73,10,15,1,1.7,50.6,285.4,13.6,"WGS84",48.5923,12.45324,"B16","8","U111","8","mineral","GERMANY"
"766","1956",21,38,42,19.1,0,1.7,68.1,241.7,10.8,"WGS84",48.39386,12.47061,"B11","8","U111","8","mineral","GERMANY"
"767","1957",17,45,38,17.4,0,1.8,44.7,96.5,7.8,"WGS84",48.05455,12.34676,"B11","8","U111","8","mineral","GERMANY"
